R,G,B,R',G',B',X,Y,Z,L',M',S',L,M,S,L,a,b,,RGB,Min,Max
0.812500,0.312500,0.000000,0.625232,0.079581,0.000000,0.301258,0.189883,0.019814,0.300444,0.186681,0.077648,0.669763,0.571523,0.426623,0.592786,0.128976,0.119613,,,,
0.875000,0.312500,0.000000,0.738845,0.079581,0.000000,0.350561,0.214045,0.021831,0.347283,0.210760,0.087684,0.702902,0.595109,0.444263,0.618407,0.145189,0.124665,,,,
0.937500,0.312500,0.000000,0.863669,0.079581,0.000000,0.404728,0.240592,0.024047,0.398744,0.237215,0.098709,0.736035,0.619034,0.462154,0.644294,0.160680,0.129778,,,,
1.000000,0.312500,0.000000,1.000000,0.079581,0.000000,0.463889,0.269586,0.026468,0.454950,0.266109,0.110752,0.769109,0.643211,0.480231,0.670368,0.175527,0.134937,,,,
0.000000,0.375000,0.000000,0.000000,0.116016,0.000000,0.043646,0.082969,0.012700,0.062219,0.078971,0.032688,0.396255,0.429031,0.319739,0.422579,-0.114103,0.087452,,,,
0.062500,0.375000,0.000000,0.005156,0.116016,0.000000,0.045884,0.084066,0.012792,0.064345,0.080064,0.033143,0.400717,0.431001,0.321217,0.425075,-0.109396,0.087914,,,,
0.125000,0.375000,0.000000,0.014350,0.116016,0.000000,0.049874,0.086021,0.012955,0.068135,0.082012,0.033955,0.408436,0.434470,0.323819,0.429442,-0.101379,0.088724,,,,
0.187500,0.375000,0.000000,0.029343,0.116016,0.000000,0.056380,0.089210,0.013221,0.074316,0.085190,0.035280,0.420431,0.440010,0.327976,0.436346,-0.089236,0.090009,,,,
0.250000,0.375000,0.000000,0.050876,0.116016,0.000000,0.065724,0.093789,0.013603,0.083194,0.089754,0.037182,0.436547,0.447731,0.333767,0.445841,-0.073504,0.091786,,,,
0.312500,0.375000,0.000000,0.079581,0.116016,0.000000,0.078181,0.099894,0.014113,0.095028,0.095837,0.039717,0.456336,0.457627,0.341187,0.457829,-0.055053,0.094042,,,,
0.375000,0.375000,0.000000,0.116016,0.116016,0.000000,0.093992,0.107643,0.014760,0.110049,0.103559,0.042935,0.479213,0.469602,0.350165,0.472111,-0.034839,0.096746,,,,
