R,G,B,R',G',B',X,Y,Z,L',M',S',L,M,S,L,a,b
0.687500,0.375000,0.000000,0.430393,0.116016,0.000000,0.230416,0.174502,0.020342,0.239128,0.170768,0.074103,0.620693,0.554799,0.420029,0.569216,0.069612,0.110693
0.750000,0.375000,0.000000,0.522522,0.116016,0.000000,0.270395,0.194095,0.021978,0.277160,0.190385,0.082708,0.651994,0.575278,0.435695,0.591991,0.088849,0.114865
0.812500,0.375000,0.000000,0.625232,0.116016,0.000000,0.314966,0.215939,0.023802,0.319560,0.212255,0.092301,0.683676,0.596512,0.451928,0.615445,0.107263,0.119180
0.875000,0.375000,0.000000,0.738845,0.116016,0.000000,0.364268,0.240101,0.025819,0.366460,0.236446,0.102912,0.715609,0.618364,0.468622,0.639439,0.124878,0.123612
0.937500,0.375000,0.000000,0.863669,0.116016,0.000000,0.418436,0.266648,0.028036,0.417989,0.263024,0.114571,0.747690,0.640716,0.485689,0.663860,0.141741,0.128137
1.000000,0.375000,0.000000,1.000000,0.116016,0.000000,0.477596,0.295642,0.030457,0.474268,0.292053,0.127304,0.779844,0.663469,0.503054,0.688614,0.157909,0.132738
0.000000,0.437500,0.000000,0.000000,0.160683,0.000000,0.060450,0.114913,0.017590,0.085119,0.109590,0.046958,0.439888,0.478546,0.360775,0.470890,-0.129533,0.094237
0.062500,0.437500,0.000000,0.005156,0.160683,0.000000,0.062688,0.116009,0.017681,0.087247,0.110688,0.047440,0.443524,0.480139,0.362004,0.472914,-0.125654,0.094584
0.125000,0.437500,0.000000,0.014350,0.160683,0.000000,0.066678,0.117964,0.017844,0.091043,0.112646,0.048298,0.449864,0.482953,0.364175,0.476473,-0.118969,0.095195
0.187500,0.437500,0.000000,0.029343,0.160683,0.000000,0.073184,0.121153,0.018111,0.097232,0.115838,0.049699,0.459836,0.487473,0.367661,0.482144,-0.108651,0.096172
0.250000,0.437500,0.000000,0.050876,0.160683,0.000000,0.082528,0.125733,0.018493,0.106121,0.120423,0.051710,0.473442,0.493821,0.372556,0.490026,-0.094951,0.097537
0.312500,0.437500,0.000000,0.079581,0.160683,0.000000,0.094985,0.131837,0.019003,0.117971,0.126535,0.054391,0.490447,0.502038,0.378886,0.500100,-0.078420,0.099290
0.375000,0.437500,0.000000,0.116016,0.160683,0.000000,0.110796,0.139586,0.019650,0.133012,0.134293,0.057794,0.510462,0.512096,0.386629,0.512263,-0.059767,0.101420
0.437500,0.437500,0.000000,0.160683,0.160683,0.000000,0.130179,0.149085,0.020443,0.151450,0.143804,0.061966,0.533036,0.523910,0.395716,0.526353,-0.039711,0.103904
0.500000,0.437500,0.000000,0.214041,0.160683,0.000000,0.153334,0.160433,0.021390,0.173477,0.155165,0.066949,0.557717,0.537359,0.406053,0.542178,-0.018897,0.106712
0.562500,0.437500,0.000000,0.276518,0.160683,0.000000,0.180445,0.173720,0.022500,0.199268,0.168468,0.072785,0.584089,0.552297,0.417523,0.559536,0.002157,0.109812
0.625000,0.437500,0.000000,0.348510,0.160683,0.000000,0.211686,0.189031,0.023778,0.228987,0.183797,0.079509,0.611792,0.568564,0.430003,0.578226,0.023070,0.113171
0.687500,0.437500,0.000000,0.430393,0.160683,0.000000,0.247220,0.206446,0.025232,0.262790,0.201232,0.087157,0.640525,0.586002,0.443370,0.598058,0.043577,0.116755
0.750000,0.437500,0.000000,0.522522,0.160683,0.000000,0.287199,0.226039,0.026868,0.300821,0.220849,0.095761,0.670043,0.604456,0.457506,0.618858,0.063515,0.120534
0.812500,0.437500,0.000000,0.625232,0.160683,0.000000,0.331770,0.247882,0.028692,0.343221,0.242718,0.105354,0.700150,0.623784,0.472300,0.640473,0.082794,0.124480
0.875000,0.437500,0.000000,0.738845,0.160683,0.000000,0.381072,0.272045,0.030709,0.390122,0.266910,0.115966,0.730690,0.643855,0.487652,0.662766,0.101376,0.128567
0.937500,0.437500,0.000000,0.863669,0.160683,0.000000,0.435240,0.298592,0.032925,0.441650,0.293488,0.127624,0.761540,0.664554,0.503475,0.685621,0.119258,0.132773
1.000000,0.437500,0.000000,1.000000,0.160683,0.000000,0.494400,0.327585,0.035346,0.497929,0.322517,0.140358,0.792603,0.685779,0.519691,0.708937,0.136461,0.137078
0.000000,0.500000,0.000000,0.000000,0.214041,0.000000,0.080524,0.153072,0.023431,0.113385,0.145982,0.062552,0.484007,0.526542,0.396959,0.518118,-0.142524,0.103689
0.062500,0.500000,0.000000,0.005156,0.214041,0.000000,0.082762,0.154168,0.023522,0.115513,0.147080,0.063033,0.487016,0.527859,0.397975,0.519792,-0.139311,0.103976
0.125000,0.500000,0.000000,0.014350,0.214041,0.000000,0.086751,0.156124,0.023685,0.119308,0.149037,0.063892,0.492293,0.530190,0.399774,0.522746,-0.133725,0.104482
0.187500,0.500000,0.000000,0.029343,0.214041,0.000000,0.093258,0.159312,0.023952,0.125498,0.152230,0.065292,0.500663,0.533949,0.402674,0.527479,-0.124993,0.105297
0.250000,0.500000,0.000000,0.050876,0.214041,0.000000,0.102602,0.163892,0.024334,0.134387,0.156815,0.067303,0.512215,0.539257,0.406767,0.534105,-0.113188,0.106441
0.312500,0.500000,0.000000,0.079581,0.214041,0.000000,0.115059,0.169997,0.024844,0.146237,0.162927,0.069984,0.526848,0.546174,0.412098,0.542653,-0.098640,0.107923
0.375000,0.500000,0.000000,0.116016,0.214041,0.000000,0.130870,0.177745,0.025491,0.161277,0.170685,0.073387,0.544324,0.554709,0.418672,0.553077,-0.081838,0.109741
0.437500,0.500000,0.000000,0.160683,0.214041,0.000000,0.150253,0.187245,0.026284,0.179716,0.180196,0.077559,0.564325,0.564826,0.426460,0.565284,-0.063339,0.111881
